,Moyenne,Médiane,Écart-type,Min,Max,Q1 (25%),Q3 (75%),IQR,CV (%)
CPU_Usage,50.44502159675582,48.00287316206284,23.77398925446716,14.393398282201812,100.0,30.704477632811233,66.69833864432258,35.99386101151134,47.128514374540565
Memory_Usage,8.730945210293642,7.948557957934197,3.745700544991471,2.1022225211327954,16.0,5.999836593457958,11.687354190638317,5.687517597180359,42.90143225930854
Network_Usage,132.45671130992991,139.64468718503213,54.37377461484657,27.85451753082675,200.0,86.85291391763248,188.69892367453582,101.84600975690334,41.050222428986366
Temperature,44.15243436781244,44.472693554119445,6.9011147139593545,30.64790830426385,57.85839592335551,39.14738967910202,49.700064636325,10.552674957222983,15.630202077805103
